years,physical,chemistry,medicine,literature,peace
1966,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous,Shmuel Yosef Agnon,null
1967,Hans Bethe,Manfred Eigen,Ragnar Granit,Miguel Ángel Asturias,null
1968,Luis Walter Álvarez,Lars Onsager,Robert W. Holley,Yasunari Kawabata,René Cassin
1969,Murray Gell-Mann,Derek Barton,Max Delbrück,Samuel Beckett,Organización Internacional del Trabajo
1970,Hannes Alfvén,Luis F. Leloir,Julius Axelrod,Aleksandr Solzhenitsyn,Norman Borlaug
1971,Dennis Gabor,Gerhard Herzberg,"Earl Wilbur Sutherland, Jr.",Pablo Neruda,Willy Brandt
1972,John Bardeen,Christian B. Anfinsen,Gerald Edelman,Heinrich Böll,null
1973,Leo Esaki,Ernst Otto Fischer,Karl von Frisch,Patrick White,Henry Kissinger
1974,Martin Ryle,Paul Flory,Albert Claude,Eyvind Johnson,Seán MacBride
1975,Aage Bohr,John Cornforth,David Baltimore,Eugenio Montale,Andréi Sájarov
1976,Burton Richter,William Lipscomb,Baruch Samuel Blumberg,Saul Bellow,Betty Williams
1977,Philip Warren Anderson,Ilya Prigogine,Roger Guillemin,Vicente Aleixandre,Amnistía Internacional
1978,Piotr Kapitsa,Peter D. Mitchell,Werner Arber,Isaac Bashevis Singer,Anwar El Sadat
1979,Sheldon Glashow,Herbert C. Brown,Allan McLeod Cormack,Odysseas Elytis,Teresa de Calcuta
1980,James Cronin,Paul Berg,Baruj Benacerraf,Czesław Miłosz,Adolfo Pérez Esquivel
1981,Nicolaas Bloembergen,Kenichi Fukui,Roger W. Sperry,Elias Canetti,Alto Comisionado de las Naciones Unidas para y los Refugiados
1982,Kenneth G. Wilson,Aaron Klug,Sune Bergström,Gabriel García Márquez,Alva Myrdal
1983,Subramanyan Chandrasekhar,Henry Taube,Barbara McClintock,William Golding,Lech Wałęsa
1984,Carlo Rubbia,Robert Bruce Merrifield,Niels Kai Jerne,Jaroslav Seifert,Desmond Tutu
1985,Klaus von Klitzing,Herbert A. Hauptman,Michael Stuart Brown,Claude Simon,Asociación Internacional de Médicos para la Prevención de la Guerra Nuclear
1986,Ernst Ruska,Dudley R. Herschbach,Stanley Cohen,Wole Soyinka,Elie Wiesel
1987,J. Georg Bednorz,Donald J. Cram,Susumu Tonegawa,Joseph Brodsky,Óscar Arias
1988,Leon M. Lederman,Johann Deisenhofer,James W. Black,Naguib Mahfouz,Fuerzas de paz de las Naciones Unidas
1989,Norman F. Ramsey,Sidney Altman,J. Michael Bishop,Camilo José Cela,Tenzin Gyatso
1990,Jerome I. Friedman,Elias James Corey,Joseph Murray,Octavio Paz,Mijaíl Gorbachov
1991,Pierre-Gilles de Gennes,Richard R. Ernst,Erwin Neher,Nadine Gordimer,Aung San Suu Kyi
1992,Georges Charpak,Rudolph A. Marcus,Edmond H. Fischer,Derek Walcott,Rigoberta Menchú
1993,Russell A. Hulse,Kary Mullis,Richard J. Roberts,Toni Morrison,Nelson Mandela
1994,Bertram N. Brockhouse,George Andrew Olah,Alfred G. Gilman,Kenzaburo Oe,Yasser Arafat
1995,Martin L. Perl,Paul J. Crutzen,Edward B. Lewis,Seamus Heaney,Joseph Rotblat
1996,David M. Lee,Robert F. Curl Jr.,Peter C. Doherty,Wisława Szymborska,Carlos Filipe Ximenes Belo
1997,Steven Chu,Paul D. Boyer,Stanley B. Prusiner,Dario Fo,Jody Williams
1998,Robert B. Laughlin,Walter Kohn,Robert F. Furchgott,José Saramago,John Hume
1999,Gerardus 't Hooft,Ahmed Zewail,Günter Blobel,Günter Grass,Médicos Sin Fronteras
2000,Zhores I. Alferov,Alan J. Heeger,Arvid Carlsson,Gao Xingjian,Kim Dae Jung
2001,Eric A. Cornell,William S. Knowles,Leland H. Hartwell,V. S. Naipaul,Kofi Annan
2002,"Raymond Davis, Jr.",John Bennett Fenn,Sydney Brenner,Imre Kertész,Jimmy Carter
2003,Alexei A. Abrikosov,Peter Agre,Paul Lauterbur,J. M. Coetzee,Shirin Ebadi
2004,David J. Gross,Aarón Ciechanover,Richard Axel,Elfriede Jelinek,Wangari Maathai
2005,Roy J. Glauber,Yves Chauvin,Barry Marshall,Harold Pinter,Mohamed ElBaradei
2006,John C. Mather,Roger D. Kornberg,Andrew Fire,Orhan Pamuk,Muhammad Yunus
2007,Albert Fert,Gerhard Ertl,Mario Capecchi,Doris Lessing,Al Gore
2008,Yoichiro Nambu,Osamu Shimomura,Harald zur Hausen,Jean-Marie Gustave Le Clézio,Martti Ahtisaari
2009,Charles K. Kao,Venkatraman Ramakrishnan,Elizabeth Blackburn,Herta Müller,Barack Obama
2010,Andre Geim,Richard Heck,Robert G. Edwards,Mario Vargas Llosa,Liu Xiaobo
2011,Saul Perlmutter,Dan Shechtman,Bruce Beutler,Tomas Tranströmer,Ellen Johnson Sirleaf
2012,Serge Haroche,Brian K. Kobilka,John B. Gurdon,Mo Yan,Unión Europea
2013,François Englert,Martin Karplus,James E. Rothman,Alice Munro,Organización para la Prohibición de Armas Químicas
2014,Isamu Akasaki,William Moerner,John O'Keefe,Patrick Modiano,Malala Yousafzai
2015,Takaaki Kajita,Tomas Lindahl,William C. Campbell,Svetlana Alexievich,Cuarteto para el Diálogo Nacional Tunecino
2016,David Thouless,Jean-Pierre Sauvage,Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos
2017,Rainer Weiss,Jacques Dubochet,Jeffrey C. Hall,Kazuo Ishiguro,Campaña Internacional para Abolir las Armas Nucleares
2018,Arthur Ashkin,Frances H. Arnold,James P. Allison,Olga Tokarczuk,Denis Mukwege
2019,James Peebles,John B. Goodenough,William Kaelin Jr.,Olga Tokarczuk,Abiy Ahmed Ali
2020,Roger Penrose,Emmanuelle Charpentier,Harvey J. Alter,Louise Glück,Programa Mundial de Alimentos
2021,Syukuro Manabe,Benjamin List,David Julius,Abdulrazak Gurnah,María Ressa
